vietnamese_name,english_name,address,license_number,issue_date,phone,website,email,business_scope,source_page
CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH QUỐC TẾ TRUST TRAVEL,TRUST TRAVEL INTERNATIONAL TRADE AND TRAVEL COMPANY LIMITED,"SỐ 19, NGÁCH 20/82/2 ĐƯỜNG PHÚ MINH",01-3012/2025/CDLQGVN-GP LHQT,12/11/2025,0342540868,https://trusttravel.vn/,contact@trusttravel.vn,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY TNHH ASIA TOURS,ASIA TOURS COMPANY LIMITED,"TẦNG 2A, TÒA NHÀ N09-B2 KĐT MỚI DỊCH VỌNG, ĐƯỜNG THÀNH THÁI, PHƯỜNG CẦU GIẤY, THÀNH PHỐ HÀ NỘI",01-2598/2024/CDLQGVN-GP LHQT,11/11/2025,0243665666,https://asiatours.com/,experts@asiatours.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY CỔ PHẦN DU LỊCH GOLDEN HOLIDAY VIỆT NAM,VIET NAM GOLDEN HOLIDAY TRAVEL JOINT STOCK COMPANY,"Số 24, ngõ 697 Đường Giải Phóng",01-884/2016/CDLQGVN-GP LHQT,10/11/2025,0988 451 530,https://www.goldenholidaytravel.com,vuban33g@yahoo.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY TNHH VIETNAM TRAVEL & TOURS,VIETNAM TRAVEL & TOURS COMPANY LIMITED,"Số nhà 20, ngách 3, ngõ 199 đường Hồ Tùng Mậu",01-3013/2025/CDLQGVN-GP LHQT,10/11/2025,0349097543,https://vietnamtravelandtours.com/,nguyenthao2709tttb@gmail.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ QUỐC TẾ VIỆT NAM SMILE,VIETNAM SMILE INTERNATIONAL TRADING AND INVESTMENT JOINT STOCK COMPANY,Số 710 Lạc Long Quân,01-3010/2025/CDLQGVN-GP LHQT,07/11/2025,0985828588,https://vietnamsmiletravel.vn/,Vietnamsmile68@gmail.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY TNHH DU LỊCH WILD RICE,WILD RICE TRAVEL COMPANY LIMITED,28D7 KHU ĐÔ THỊ ĐẠI KIM,01-3011/2025/CDLQGVN-GP LHQT,07/11/2025,0984687775,https://wildricetravel.com,sale@wildricetravel.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY TNHH DU LỊCH HỘI Á CHÂU,ASIATIC ASSOCIATION TRAVEL COMPANY LIMITED,"SỐ 26-28 NGÕ HÀNG BỘT, ĐƯỜNG TÔN ĐỨC THẮNG, PHƯỜNG Ô CHỢ DỪA, THÀNH PHỐ HÀ NỘI",01-388/2021/CDLQGVN-GP LHQT,04/11/2025,02462662816 - Fax: 02462662818,https://www.asiatica.com,info@asiatica.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY CỔ PHẦN LỮ HÀNH QUỐC TẾ ASIA ENCANTO,ASIA ENCANTO INTERNATIONAL TRAVEL JOINT STOCK COMPANY,"Số 34, TDP số 2, đường Yên Bình",01-3009/2025/CDLQGVN-GP LHQT,04/11/2025,0962471212,https://asiaencanto.com,asiaencanto@gmail.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH A1 VIỆT NAM,VIET NAM A1 TRAVEL AND TRADING COMPANY LIMITED,"Số 3 Khu 18 Căn ngõ 86 Đường Tiền Phong, Thôn Đoàn Kết",01-1968/2022/CDLQGVN-GP LHQT,03/11/2025,0988178975,http://a1vietnamtravel.com,ceo@a1vietnamtravel.com,"Inbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
CÔNG TY TNHH DU LỊCH QUỐC TẾ HÀ MINH,HA MINH INTERNATIONAL TRAVEL COMPANY LIMITED,"Số nhà 64, ngõ 59, đường Phạm Văn Đồng",01-3008/2025/CDLQGVN-GP LHQT,03/11/2025,0345381908,,manhthanghvu@gmail.com,"Inbound, Outbound, Nội địa",https://quanlyluhanh.vn/index.php/cat/1001
